Time,C9,C1,C2,C3,C4,C5,C6,C7,C8
11-29-2022_14.59.34,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.307514609547299
11-29-2022_14.59.34,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,3.307514609547299
11-29-2022_14.59.34,0.0,92.55621683967705,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.307514609547299
11-29-2022_14.59.34,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.34,0.0,91.33850057670128,847.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.59.34,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.35,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.35,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.35,0.0,94.9916493656286,844.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,3.307514609547299
11-29-2022_14.59.35,0.0,91.33850057670128,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.307514609547299
11-29-2022_14.59.35,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.307514609547299
11-29-2022_14.59.35,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.307514609547299
11-29-2022_14.59.35,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.307514609547299
11-29-2022_14.59.35,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.35,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.59.36,0.0,91.33850057670128,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.36,0.0,92.55621683967705,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.36,0.0,93.77393310265283,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3085105489057898
11-29-2022_14.59.36,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3085105489057898
11-29-2022_14.59.36,0.0,92.55621683967705,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3085105489057898
11-29-2022_14.59.36,0.0,94.9916493656286,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3085105489057898
11-29-2022_14.59.36,0.0,88.90306805074971,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.36,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.36,0.0,95.60295271049597,844.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.59.37,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.37,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.37,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,3.3085105489057898
11-29-2022_14.59.37,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3085105489057898
11-29-2022_14.59.37,0.0,93.16752018454441,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3085105489057898
11-29-2022_14.59.37,0.0,94.9916493656286,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3085105489057898
11-29-2022_14.59.37,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.37,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.37,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.38,0.0,95.60295271049597,844.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.38,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.38,0.0,93.16752018454441,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3085105489057898
11-29-2022_14.59.38,0.0,90.1207843137255,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3085105489057898
11-29-2022_14.59.38,0.0,90.1207843137255,849.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3085105489057898
11-29-2022_14.59.38,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,3.3085105489057898
11-29-2022_14.59.38,0.0,93.77393310265283,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.38,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.38,0.0,93.16752018454441,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.39,0.0,95.60295271049597,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.39,0.0,90.1207843137255,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.39,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.39,0.0,93.77393310265283,846.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,3.3095064882642804
11-29-2022_14.59.39,0.0,92.55621683967705,846.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,3.3095064882642804
11-29-2022_14.59.39,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3095064882642804
11-29-2022_14.59.39,0.0,94.38523644752019,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3095064882642804
11-29-2022_14.59.39,0.0,95.60295271049597,844.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.39,0.0,90.1207843137255,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.39,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.40,0.0,94.9916493656286,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.40,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.40,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.40,0.0,93.77393310265283,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3095064882642804
11-29-2022_14.59.40,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3095064882642804
11-29-2022_14.59.40,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3095064882642804
11-29-2022_14.59.40,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3095064882642804
11-29-2022_14.59.40,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.59.40,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.40,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.41,0.0,93.77393310265283,845.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.59.41,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.41,0.0,88.29665513264129,850.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.41,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3095064882642804
11-29-2022_14.59.41,0.0,94.9916493656286,844.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,3.3095064882642804
11-29-2022_14.59.41,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3095064882642804
11-29-2022_14.59.41,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3095064882642804
11-29-2022_14.59.41,0.0,95.60295271049597,844.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.41,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.41,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.42,0.0,92.55621683967705,846.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.59.42,0.0,91.33850057670128,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.42,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.42,0.0,93.16752018454441,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.310502427622771
11-29-2022_14.59.42,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.310502427622771
11-29-2022_14.59.42,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.310502427622771
11-29-2022_14.59.42,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.310502427622771
11-29-2022_14.59.42,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.42,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.42,0.0,91.33850057670128,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.43,0.0,94.38523644752019,846.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.43,0.0,94.9916493656286,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.43,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.43,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.310502427622771
11-29-2022_14.59.43,0.0,93.77393310265283,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.310502427622771
11-29-2022_14.59.43,0.0,91.33850057670128,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.310502427622771
11-29-2022_14.59.43,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.310502427622771
11-29-2022_14.59.43,0.0,94.38523644752019,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.43,0.0,95.60295271049597,844.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.43,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.44,0.0,91.33850057670128,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.44,0.0,93.77393310265283,846.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.59.44,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.44,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.310502427622771
11-29-2022_14.59.44,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.310502427622771
11-29-2022_14.59.44,0.0,91.33850057670128,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.310502427622771
11-29-2022_14.59.44,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.310502427622771
11-29-2022_14.59.44,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.44,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.59.44,0.0,88.90306805074971,849.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.45,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.45,0.0,94.9916493656286,844.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.45,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.45,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3114983669812617
11-29-2022_14.59.45,0.0,92.55621683967705,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3114983669812617
11-29-2022_14.59.45,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3114983669812617
11-29-2022_14.59.45,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3114983669812617
11-29-2022_14.59.45,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.45,0.0,95.60295271049597,844.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.45,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.46,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.46,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.46,0.0,95.60295271049597,844.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.46,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3114983669812617
11-29-2022_14.59.46,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3114983669812617
11-29-2022_14.59.46,0.0,96.20936562860439,844.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3114983669812617
11-29-2022_14.59.46,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3114983669812617
11-29-2022_14.59.46,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.46,0.0,93.16752018454441,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.46,0.0,92.55621683967705,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.47,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.47,0.0,93.16752018454441,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.47,0.0,96.20936562860439,844.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.47,0.0,91.94980392156863,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3114983669812617
11-29-2022_14.59.47,0.0,93.16752018454441,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3114983669812617
11-29-2022_14.59.47,0.0,94.9916493656286,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3114983669812617
11-29-2022_14.59.47,0.0,93.16752018454441,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3114983669812617
11-29-2022_14.59.47,0.0,90.73208765859285,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.47,0.0,93.77393310265283,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.47,0.0,94.9916493656286,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.48,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.48,0.0,92.55621683967705,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.48,0.0,94.38523644752019,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.48,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3124943063397523
11-29-2022_14.59.48,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3124943063397523
11-29-2022_14.59.48,0.0,93.77393310265283,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3124943063397523
11-29-2022_14.59.48,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3124943063397523
11-29-2022_14.59.48,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.48,0.0,93.77393310265283,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.48,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.59.49,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.49,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.49,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.49,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3124943063397523
11-29-2022_14.59.49,0.0,90.1207843137255,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3124943063397523
11-29-2022_14.59.49,0.0,92.55621683967705,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3124943063397523
11-29-2022_14.59.49,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,3.3124943063397523
11-29-2022_14.59.49,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.49,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.49,0.0,93.77393310265283,845.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.59.49,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.50,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.50,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.50,0.0,92.55621683967705,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3124943063397523
11-29-2022_14.59.50,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,3.3124943063397523
11-29-2022_14.59.50,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,3.3124943063397523
11-29-2022_14.59.50,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,3.3124943063397523
11-29-2022_14.59.50,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.50,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.50,0.0,95.60295271049597,844.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.50,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.51,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.59.51,0.0,92.55621683967705,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.59.51,0.0,93.77393310265283,845.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,3.313490245698243
